date,home_team,away_team,home_score,away_score,league,season
1/22/23,Man City,Wolves,3,0,premierleague,2022
N/A,Leeds,Brentford,0,0,premierleague,2022
N/A,Arsenal,Man Utd,3,2,premierleague,2022
1/23/23,Fulham,Tottenham,0,1,premierleague,2022
2/3/23,Chelsea,Fulham,0,0,premierleague,2022
2/4/23,Everton,Arsenal,1,0,premierleague,2022
N/A,Aston Villa,Leicester,2,4,premierleague,2022
N/A,Brentford,Southampton,3,0,premierleague,2022
N/A,Brighton,Bournemouth,1,0,premierleague,2022
N/A,Man Utd,Crystal Palace,2,1,premierleague,2022
N/A,Wolves,Liverpool,3,0,premierleague,2022
N/A,Newcastle,West Ham,1,1,premierleague,2022
2/5/23,Nottm Forest,Leeds,1,0,premierleague,2022
N/A,Tottenham,Man City,1,0,premierleague,2022
2/11/23,West Ham,Chelsea,1,1,premierleague,2022
N/A,Southampton,Wolves,1,2,premierleague,2022
N/A,Leicester,Tottenham,4,1,premierleague,2022
N/A,Arsenal,Brentford,1,1,premierleague,2022
N/A,Crystal Palace,Brighton,1,1,premierleague,2022
N/A,Fulham,Nottm Forest,2,0,premierleague,2022
N/A,Bournemouth,Newcastle,1,1,premierleague,2022
2/12/23,Leeds,Man Utd,0,2,premierleague,2022
N/A,Man City,Aston Villa,3,1,premierleague,2022
2/13/23,Liverpool,Everton,2,0,premierleague,2022
2/18/23,Aston Villa,Arsenal,2,4,premierleague,2022
N/A,Brentford,Crystal Palace,1,1,premierleague,2022
N/A,Brighton,Fulham,0,1,premierleague,2022
N/A,Chelsea,Southampton,0,1,premierleague,2022
N/A,Everton,Leeds,1,0,premierleague,2022
N/A,Wolves,Bournemouth,0,1,premierleague,2022
N/A,Nottm Forest,Man City,1,1,premierleague,2022
N/A,Newcastle,Liverpool,0,2,premierleague,2022
2/19/23,Man Utd,Leicester,3,0,premierleague,2022
N/A,Tottenham,West Ham,2,0,premierleague,2022
2/24/23,Fulham,Wolves,1,1,premierleague,2022
2/25/23,Everton,Aston Villa,0,2,premierleague,2022
N/A,Leeds,Southampton,1,0,premierleague,2022
N/A,Leicester,Arsenal,0,1,premierleague,2022
N/A,West Ham,Nottm Forest,4,0,premierleague,2022
N/A,Bournemouth,Man City,1,4,premierleague,2022
N/A,Crystal Palace,Liverpool,0,0,premierleague,2022
2/26/23,Tottenham,Chelsea,2,0,premierleague,2022
4/5/23,Man Utd,Brentford,1,0,premierleague,2022
5/18/23,Newcastle,Brighton,4,1,premierleague,2022
3/4/23,Man City,Newcastle,2,0,premierleague,2022
N/A,Wolves,Tottenham,1,0,premierleague,2022
N/A,Chelsea,Leeds,1,0,premierleague,2022
N/A,Brighton,West Ham,4,0,premierleague,2022
N/A,Aston Villa,Crystal Palace,1,0,premierleague,2022
N/A,Arsenal,Bournemouth,3,2,premierleague,2022
N/A,Southampton,Leicester,1,0,premierleague,2022
3/5/23,Nottm Forest,Everton,2,2,premierleague,2022
N/A,Liverpool,Man Utd,7,0,premierleague,2022
3/6/23,Brentford,Fulham,3,2,premierleague,2022
3/11/23,Bournemouth,Liverpool,1,0,premierleague,2022
N/A,Everton,Brentford,1,0,premierleague,2022
N/A,Leeds,Brighton,2,2,premierleague,2022
N/A,Tottenham,Nottm Forest,3,1,premierleague,2022
N/A,Leicester,Chelsea,1,3,premierleague,2022
N/A,Crystal Palace,Man City,0,1,premierleague,2022
3/12/23,Fulham,Arsenal,0,3,premierleague,2022
N/A,West Ham,Aston Villa,1,1,premierleague,2022
N/A,Man Utd,Southampton,0,0,premierleague,2022
N/A,Newcastle,Wolves,2,1,premierleague,2022
3/17/23,Nottm Forest,Newcastle,1,2,premierleague,2022
3/18/23,Aston Villa,Bournemouth,3,0,premierleague,2022
N/A,Brentford,Leicester,1,1,premierleague,2022
N/A,Southampton,Tottenham,3,3,premierleague,2022
N/A,Wolves,Leeds,2,4,premierleague,2022
N/A,Chelsea,Everton,2,2,premierleague,2022
3/19/23,Arsenal,Crystal Palace,4,1,premierleague,2022
5/3/23,Liverpool,Fulham,1,0,premierleague,2022
N/A,Man City,West Ham,3,0,premierleague,2022
5/4/23,Brighton,Man Utd,1,0,premierleague,2022
4/1/23,Man City,Liverpool,4,1,premierleague,2022
N/A,Nottm Forest,Wolves,1,1,premierleague,2022
N/A,Crystal Palace,Leicester,2,1,premierleague,2022
N/A,Brighton,Brentford,3,3,premierleague,2022
N/A,Bournemouth,Fulham,2,1,premierleague,2022
N/A,Arsenal,Leeds,4,1,premierleague,2022
N/A,Chelsea,Aston Villa,0,2,premierleague,2022
4/2/23,West Ham,Southampton,1,0,premierleague,2022
N/A,Newcastle,Man Utd,2,0,premierleague,2022
4/3/23,Everton,Tottenham,1,1,premierleague,2022
4/8/23,Man Utd,Everton,2,0,premierleague,2022
N/A,Wolves,Chelsea,1,0,premierleague,2022
N/A,Tottenham,Brighton,2,1,premierleague,2022
N/A,Leicester,Bournemouth,0,1,premierleague,2022
N/A,Fulham,West Ham,0,1,premierleague,2022
N/A,Brentford,Newcastle,1,2,premierleague,2022
N/A,Aston Villa,Nottm Forest,2,0,premierleague,2022
N/A,Southampton,Man City,1,4,premierleague,2022
4/9/23,Leeds,Crystal Palace,1,5,premierleague,2022
N/A,Liverpool,Arsenal,2,2,premierleague,2022
4/15/23,Aston Villa,Newcastle,3,0,premierleague,2022
N/A,Wolves,Brentford,2,0,premierleague,2022
N/A,Tottenham,Bournemouth,2,3,premierleague,2022
N/A,Southampton,Crystal Palace,0,2,premierleague,2022
N/A,Everton,Fulham,1,3,premierleague,2022
N/A,Chelsea,Brighton,1,2,premierleague,2022
N/A,Man City,Leicester,3,1,premierleague,2022
4/16/23,West Ham,Arsenal,2,2,premierleague,2022
N/A,Nottm Forest,Man Utd,0,2,premierleague,2022
4/17/23,Leeds,Liverpool,1,6,premierleague,2022
4/21/23,Arsenal,Southampton,3,3,premierleague,2022
4/22/23,Fulham,Leeds,2,1,premierleague,2022
N/A,Liverpool,Nottm Forest,3,2,premierleague,2022
N/A,Leicester,Wolves,2,1,premierleague,2022
N/A,Crystal Palace,Everton,0,0,premierleague,2022
N/A,Brentford,Aston Villa,1,1,premierleague,2022
4/23/23,Newcastle,Tottenham,6,1,premierleague,2022
N/A,Bournemouth,West Ham,0,4,premierleague,2022
5/24/23,Brighton,Man City,1,1,premierleague,2022
5/25/23,Man Utd,Chelsea,4,1,premierleague,2022
4/25/23,Wolves,Crystal Palace,2,0,premierleague,2022
N/A,Aston Villa,Fulham,1,0,premierleague,2022
N/A,Leeds,Leicester,1,1,premierleague,2022
4/26/23,Nottm Forest,Brighton,3,1,premierleague,2022
N/A,Chelsea,Brentford,0,2,premierleague,2022
N/A,West Ham,Liverpool,1,2,premierleague,2022
N/A,Man City,Arsenal,4,1,premierleague,2022
4/27/23,Southampton,Bournemouth,0,1,premierleague,2022
N/A,Everton,Newcastle,1,4,premierleague,2022
N/A,Tottenham,Man Utd,2,2,premierleague,2022
4/29/23,Crystal Palace,West Ham,4,3,premierleague,2022
N/A,Brighton,Wolves,6,0,premierleague,2022
N/A,Brentford,Nottm Forest,2,1,premierleague,2022
4/30/23,Newcastle,Southampton,3,1,premierleague,2022
N/A,Man Utd,Aston Villa,1,0,premierleague,2022
N/A,Fulham,Man City,1,2,premierleague,2022
N/A,Bournemouth,Leeds,4,1,premierleague,2022
N/A,Liverpool,Tottenham,4,3,premierleague,2022
5/1/23,Leicester,Everton,2,2,premierleague,2022
5/2/23,Arsenal,Chelsea,3,1,premierleague,2022
5/6/23,Bournemouth,Chelsea,1,3,premierleague,2022
N/A,Man City,Leeds,2,1,premierleague,2022
N/A,Wolves,Aston Villa,1,0,premierleague,2022
N/A,Tottenham,Crystal Palace,1,0,premierleague,2022
N/A,Liverpool,Brentford,1,0,premierleague,2022
5/7/23,Newcastle,Arsenal,0,2,premierleague,2022
N/A,West Ham,Man Utd,1,0,premierleague,2022
5/8/23,Fulham,Leicester,5,3,premierleague,2022
N/A,Brighton,Everton,1,5,premierleague,2022
N/A,Nottm Forest,Southampton,4,3,premierleague,2022
5/13/23,Leeds,Newcastle,2,2,premierleague,2022
N/A,Aston Villa,Tottenham,2,1,premierleague,2022
N/A,Chelsea,Nottm Forest,2,2,premierleague,2022
N/A,Crystal Palace,Bournemouth,2,0,premierleague,2022
N/A,Man Utd,Wolves,2,0,premierleague,2022
N/A,Southampton,Fulham,0,2,premierleague,2022
